,3691,2720,4325,1781
0_RfR 0,0.0,0.0,0.0,0.0
0_RfR 1,0.0,1.0,0.0,0.0
0_RfR 2,0.0,0.0,0.0,0.0
1_RfR 0,0.0,0.0,0.0,0.0
1_RfR 1,0.0,0.0,0.0,0.0
1_RfR 2,0.0,0.0,0.0,0.0
2_RfR 0,0.0,1.0,0.0,0.0
2_RfR 1,0.0,0.0,1.0,0.0
2_RfR 2,0.0,1.0,1.0,0.0
3_RfR 0,0.0,1.0,0.0,1.0
3_RfR 1,0.0,1.0,1.0,1.0
3_RfR 2,0.0,0.0,0.0,0.0
4_RfR 0,0.0,0.0,0.0,1.0
4_RfR 1,0.0,0.0,0.0,1.0
4_RfR 2,0.0,0.0,0.0,0.0
EWS_DaysToThreat,3.0,3.0,2.0,1.0
A.1_DikeIncrease 0,5.0,1.0,2.0,0.0
A.1_DikeIncrease 1,2.0,2.0,1.0,2.0
A.1_DikeIncrease 2,5.0,1.0,1.0,5.0
A.2_DikeIncrease 0,2.0,0.0,1.0,0.0
A.2_DikeIncrease 1,1.0,5.0,1.0,6.0
A.2_DikeIncrease 2,0.0,7.0,4.0,6.0
A.3_DikeIncrease 0,2.0,10.0,1.0,4.0
A.3_DikeIncrease 1,5.0,6.0,1.0,7.0
A.3_DikeIncrease 2,2.0,3.0,0.0,0.0
A.4_DikeIncrease 0,7.0,10.0,10.0,10.0
A.4_DikeIncrease 1,0.0,2.0,2.0,6.0
A.4_DikeIncrease 2,2.0,1.0,6.0,5.0
A.5_DikeIncrease 0,6.0,7.0,3.0,1.0
A.5_DikeIncrease 1,4.0,7.0,5.0,1.0
A.5_DikeIncrease 2,7.0,6.0,1.0,1.0
A.1_Expected Annual Damage 0,0.0,0.0,0.0,0.0
A.1_Dike Investment Costs 0,53972506.18695759,32694901.09416193,37255203.23710208,0.0
A.1_Expected Number of Deaths 0,0.0,0.0,0.0,0.0
A.2_Expected Annual Damage 0,84507454.21956068,4721261.084594343,62474608.78353514,10879460.697215537
A.2_Dike Investment Costs 0,42818415.6714978,0.0,38245121.951764055,0.0
A.2_Expected Number of Deaths 0,0.007008108916699979,0.0005361362352094606,0.006319526037224615,0.003703495059392951
A.3_Expected Annual Damage 0,0.0,0.0,0.0,0.0
A.3_Dike Investment Costs 0,22167818.198803756,44215020.36958183,20299287.62732069,26403379.54230644
A.3_Expected Number of Deaths 0,0.0,0.0,0.0,0.0
A.4_Expected Annual Damage 0,0.0,0.0,0.0,0.0
A.4_Dike Investment Costs 0,14261651.781499248,20384338.443195168,20384338.443195168,20384338.443195168
A.4_Expected Number of Deaths 0,0.0,0.0,0.0,0.0
A.5_Expected Annual Damage 0,0.0,0.0,0.0,30777370.37740083
A.5_Dike Investment Costs 0,40273672.383724,44193513.54513965,30351526.042379986,25037214.0
A.5_Expected Number of Deaths 0,0.0,0.0,0.0,0.009570461838408607
RfR Total Costs 0,0.0,151900000.0,0.0,377300000.0
Expected Evacuation Costs 0,3478.1891081337208,247.57963597670016,2094.3446915561035,1218.4002249995144
A.1_Expected Annual Damage 1,0.0,0.0,0.0,0.0
A.1_Dike Investment Costs 1,44070543.84629288,38528245.4087992,34967502.70058983,37255203.23710208
A.1_Expected Number of Deaths 1,0.0,0.0,0.0,0.0
A.2_Expected Annual Damage 1,29899886.319962204,0.0,28639023.52499032,0.0
A.2_Dike Investment Costs 1,40903515.85041174,59410102.93073928,39551990.49295637,66045103.44010488
A.2_Expected Number of Deaths 1,0.003302925720897572,0.0,0.00383375261855555,0.0
A.3_Expected Annual Damage 1,0.0,0.0,0.0,0.0
A.3_Dike Investment Costs 1,30800155.24552359,43937562.97993757,20992931.0,39144342.57452388
A.3_Expected Number of Deaths 1,0.0,0.0,0.0,0.0
A.4_Expected Annual Damage 1,0.0,0.0,0.0,0.0
A.4_Dike Investment Costs 1,0.0,10260065.98422112,10260065.98422112,17612721.86183389
A.4_Expected Number of Deaths 1,0.0,0.0,0.0,0.0
A.5_Expected Annual Damage 1,0.0,0.0,0.0,35085050.32607082
A.5_Dike Investment Costs 1,40832181.47542602,55911944.07501362,40566435.68112765,25892757.0
A.5_Expected Number of Deaths 1,0.0,0.0,0.0,0.00857704184994085
RfR Total Costs 1,0.0,205800000.0,151900000.0,377300000.0
Expected Evacuation Costs 1,1581.3660652455014,0.0,1233.1006595950262,811.7253859649077
A.1_Expected Annual Damage 2,0.0,0.0,0.0,0.0
A.1_Dike Investment Costs 2,68283951.77113914,36162372.18750358,36162372.18750358,57724100.47715476
A.1_Expected Number of Deaths 2,0.0,0.0,0.0,0.0
A.2_Expected Annual Damage 2,19529157.18142665,0.0,92615.61006966596,0.0
A.2_Dike Investment Costs 2,0.0,86727530.25163409,57067493.83004433,80796843.08883607
A.2_Expected Number of Deaths 2,0.003302925720897572,0.0,2.0435985044877192e-05,0.0
A.3_Expected Annual Damage 2,0.0,0.0,0.0,0.0
A.3_Dike Investment Costs 2,28045876.237710856,41424451.65601359,0.0,0.0
A.3_Expected Number of Deaths 2,0.0,0.0,0.0,0.0
A.4_Expected Annual Damage 2,0.0,0.0,0.0,0.0
A.4_Dike Investment Costs 2,9276267.630739247,9459748.824765494,18836970.862664133,18948557.017200947
A.4_Expected Number of Deaths 2,0.0,0.0,0.0,0.0
A.5_Expected Annual Damage 2,0.0,0.0,0.0,10751787.619879387
A.5_Dike Investment Costs 2,61841708.14722436,64463422.16597693,32758526.57082388,26777534.779875956
A.5_Expected Number of Deaths 2,0.0,0.0,0.0,0.003472675299491332
RfR Total Costs 2,0.0,30700000.0,30700000.0,0.0
Expected Evacuation Costs 2,1581.3660652455014,0.0,5.95640613115236,317.5031817367372
Total A.4 Expected Annual Damage,0.0,0.0,0.0,0.0
Total A.4 Expected Number of Deaths,0.0,0.0,0.0,0.0
Total A.4 Dike Investment Costs,23537919.412238494,40104153.25218178,49481375.29008042,56945617.322230004
Total A.4RfR Total Costs,0.0,77680000.0,36520000.0,150920000.0
Total A.4Expected Evacuation Costs,1328.1842477249447,49.51592719534003,666.6803514564565,469.5257585402319
Total A.4 Costs,23539247.59648622,117784202.76810898,86002041.97043188,207866086.84798855
_RfRin other regions,0.0,12.0,8.0,8.0
DikeIncreasein other regions,41.0,55.0,21.0,33.0
dependency,41.0,67.0,29.0,41.0
